node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND122004AAA,0.0,0,2,0.0,175.0,1.4871392496392497,Gurgaon_Begumpur_CP (Haryana),0.0,5.596932644342939e-08,-1.166297228143075e-08,6.070213613387644e-08,2.2062014524789626e-08,3.414004294824877e-09,-6.401055986300762e-09,3.04763320587082e-08,-4.634453258305538e-08,4.965096060052985e-09,9.171172777877796e-09,1.9703558658605224e-08,-6.682406388092835e-08,1.612134012264164e-07,-2.5839684950502115e-07,2.2504363153732205e-07,-1.2834646777696964e-07
IND302014AAA,0.0404896399490214,10,8,0.06,791.0,1.6806514950477798,Jaipur_Hub (Rajasthan),32.027305199675965,5.5969326443606415e-08,-1.1662972281939482e-08,6.070213613373941e-08,2.2062014523862515e-08,3.414004293295763e-09,-6.401055984663954e-09,3.047633205681211e-08,-4.634453258360092e-08,4.965096059512007e-09,9.171172777024245e-09,1.9703558659798257e-08,-6.682406388000927e-08,1.612134012272477e-07,-2.5839684950552736e-07,2.2504363153882765e-07,-1.2834646777950621e-07
IND305001AAC,0.0100413036180801,5,4,0.0857142857142857,186.0,1.929552881758764,Ajmer_FoySGRRD_I (Rajasthan),1.8676824729629145,5.596932644363434e-08,-1.1662972280923497e-08,6.07021361336826e-08,2.206201452395653e-08,3.4140042922207974e-09,-6.40105598208863e-09,3.047633205694468e-08,-4.6344532582825344e-08,4.96509606018169e-09,9.171172777106417e-09,1.9703558660505685e-08,-6.682406387915352e-08,1.6121340122718483e-07,-2.5839684950674926e-07,2.2504363153678931e-07,-1.2834646777914808e-07
IND306401AAB,0.0118799896376081,3,4,0.1578947368421052,622.0,1.7363381716322892,Pali_Nayagaon_I (Rajasthan),7.389353554592291,5.596932644400927e-08,-1.1662972281777563e-08,6.070213613344475e-08,2.2062014524072986e-08,3.414004294529125e-09,-6.401055983721735e-09,3.0476332057439654e-08,-4.634453258234138e-08,4.96509605993345e-09,9.171172777416944e-09,1.9703558659730312e-08,-6.682406387960124e-08,1.612134012264332e-07,-2.583968495070831e-07,2.2504363153729944e-07,-1.2834646777829766e-07
IND342005AAD,0.0052417648174905,2,4,0.1,69.0,1.85687149859944,Jodhpur_Basni_I (Rajasthan),0.3616817724068479,5.596932644347944e-08,-1.1662972280943073e-08,6.070213613305183e-08,2.206201452407196e-08,3.41400429152541e-09,-6.401055982962365e-09,3.047633205619874e-08,-4.634453258344641e-08,4.965096059506275e-09,9.171172776778313e-09,1.9703558659969152e-08,-6.68240638804073e-08,1.61213401227404e-07,-2.5839684950655624e-07,2.2504363153848852e-07,-1.283464677775483e-07
IND342601AAA,0.0,1,2,0.3333333333333333,18.0,1.8815476190476188,Piparcity_BsstdDPP_D (Rajasthan),0.0,5.5969326444047634e-08,-1.1662972280943156e-08,6.070213613353166e-08,2.20620145240147e-08,3.4140042936801384e-09,-6.4010559833102805e-09,3.0476332057358114e-08,-4.634453258247324e-08,4.965096060007347e-09,9.171172777281736e-09,1.9703558659722897e-08,-6.682406388074596e-08,1.612134012270504e-07,-2.5839684950576723e-07,2.2504363153753698e-07,-1.2834646777833768e-07
IND342902A1B,0.0014033013704628,2,1,0.1666666666666666,90.0,2.0,Unknown_Source,0.1262971233416524,5.596932644379417e-08,-1.1662972280958958e-08,6.07021361335157e-08,2.2062014523794604e-08,3.414004293615527e-09,-6.40105598323847e-09,3.047633205761724e-08,-4.63445325820718e-08,4.9650960599952685e-09,9.17117277715619e-09,1.9703558660055884e-08,-6.682406388065074e-08,1.6121340122728372e-07,-2.5839684950672374e-07,2.2504363153752938e-07,-1.283464677782948e-07
IND000000ACK,0.0,0,1,0.0,94.0,2.3166666666666664,Hyderabad_Chikdply_C (Telangana),0.0,-3.1811845034726724e-08,5.824208163476306e-08,2.5459733100391935e-07,-2.2477373768577055e-07,-3.629237410897767e-07,1.8745294239568958e-06,-3.0623391789875196e-06,1.2946665654092404e-06,-1.6004979620453302e-06,2.641614295732488e-06,-4.031949774559721e-07,-1.6744787862412705e-06,-6.015151012400178e-06,1.4771924280636699e-05,-6.529004287263844e-06,4.8550299025312366e-06
IND462022AAA,0.0296377118080324,13,9,0.0550660792951541,1450.0,1.994942948546268,Bhopal_Trnsport_H (Madhya Pradesh),42.97468212164712,5.5969326444641556e-08,-1.1662972281863489e-08,6.070213613293809e-08,2.2062014524437287e-08,3.4140042894142902e-09,-6.401055986445557e-09,3.047633205828369e-08,-4.634453258604245e-08,4.965096060501737e-09,9.171172777078419e-09,1.970355865787858e-08,-6.682406388136491e-08,1.6121340122580106e-07,-2.583968495045658e-07,2.2504363153691544e-07,-1.2834646777505e-07
IND209304AAA,0.0403593894432334,16,13,0.0288220551378446,1513.0,1.879137675302368,Kanpur_Central_H_6 (Uttar Pradesh),61.06375622761218,5.596932644380297e-08,-1.1662972281507624e-08,6.070213613260399e-08,2.206201452568038e-08,3.414004292906183e-09,-6.40105598764208e-09,3.0476332058273e-08,-4.6344532585748104e-08,4.965096059972022e-09,9.171172777251569e-09,1.970355865926222e-08,-6.682406387943682e-08,1.6121340122532876e-07,-2.5839684950568173e-07,2.250436315355821e-07,-1.2834646777680068e-07
